Opportunity Name,Qualification Set Date,Qualification Scheduled Date,Industry,Amount,Stage,Fiscal Period,Created Date,SDR Owner,Assigned Account Executive,SAO Points Calculation,Meeting Held Date
Pinewood Construction Services - SDR Set 315,2025-11-11,2025-11-24,Electrical Contractor,60000,Discovery,Q4 2025,2025-11-11,Wes Kim,Eddie Coleman,0,2025-11-24
Compass Sheet Metal - SDR Set 316,2026-05-26,2026-05-31,Sheet Metal Contractor,57000,Closed Won,Q2 2026,2026-05-26,Wes Kim,Tomás Reyes,0,2026-05-31
Whitestone Electric - SDR Set 317,2025-12-23,2026-01-02,General Contractor,22000,Discovery,Q4 2025,2025-12-23,Mira Schultz,Lauren Park,0,2026-01-02
Ironclad Electric - SDR Set 318,2026-03-23,2026-04-05,Electrical Contractor,32000,Discovery,Q1 2026,2026-03-23,Wes Kim,Lauren Park,0,2026-04-05
Anchor Plumbing - SDR Set 319,2026-04-24,2026-05-01,Mechanical Contractor,54000,Qualification,Q2 2026,2026-04-24,Avery Greene,Jamal Whitfield,0,2026-05-01
Granite Industrial Services - SDR Set 320,2026-02-18,2026-02-21,Specialty Trades,80000,Discovery,Q1 2026,2026-02-18,Avery Greene,Eddie Coleman,1,2026-02-21
Summit Electric Inc - SDR Set 321,2026-03-14,2026-03-27,Plumbing Contractor,68000,Discovery,Q1 2026,2026-03-14,Wes Kim,Jamal Whitfield,0,2026-03-27
Lakefront Mechanical - SDR Set 322,2026-03-04,2026-03-15,General Contractor,66000,Qualification,Q1 2026,2026-03-04,Mira Schultz,Caroline Mead,1,2026-03-15
Granite Industrial Services - SDR Set 323,2026-01-24,2026-01-27,Electrical Contractor,29000,Discovery,Q1 2026,2026-01-24,Avery Greene,Eddie Coleman,1,2026-01-27
Whitestone Electric - SDR Set 324,2026-04-25,2026-05-06,Electrical Contractor,93000,Closed Won,Q2 2026,2026-04-25,Wes Kim,Jamal Whitfield,1,2026-05-06
Foothill Sheet Metal - SDR Set 325,2026-05-12,2026-05-26,Sheet Metal Contractor,79000,Closed Lost,Q2 2026,2026-05-12,Avery Greene,Jamal Whitfield,0,2026-05-26
Ironclad Electric - SDR Set 326,2026-01-05,2026-01-12,Mechanical Contractor,85000,Evaluation,Q1 2026,2026-01-05,Mira Schultz,Caroline Mead,1,2026-01-12
Cornerstone Mechanical - SDR Set 327,2026-01-07,2026-01-12,General Contractor,96000,Discovery,Q1 2026,2026-01-07,Mira Schultz,Caroline Mead,1,2026-01-12
Crescent HVAC Co - SDR Set 328,2025-11-29,2025-12-06,Plumbing Contractor,31000,Closed Lost,Q4 2025,2025-11-29,Mira Schultz,Caroline Mead,0,2025-12-06
Sentinel HVAC - SDR Set 329,2025-11-17,2025-11-27,Sheet Metal Contractor,67000,Closed Lost,Q4 2025,2025-11-17,Mira Schultz,Caroline Mead,0,2025-11-27
Western Ridge Electrical - SDR Set 330,2026-04-05,2026-04-11,Plumbing Contractor,92000,Evaluation,Q2 2026,2026-04-05,Avery Greene,Eddie Coleman,1,2026-04-11
Beacon Industrial - SDR Set 331,2026-01-25,2026-01-30,Mechanical Contractor,55000,Discovery,Q1 2026,2026-01-25,Mira Schultz,Harper Lin,1,2026-01-30
Steeplechase Electric - SDR Set 332,2026-02-23,2026-03-08,Plumbing Contractor,28000,Discovery,Q1 2026,2026-02-23,Wes Kim,Caroline Mead,1,2026-03-08
Riverbend Plumbing - SDR Set 333,2026-04-13,2026-04-18,Mechanical Contractor,39000,Discovery,Q2 2026,2026-04-13,Avery Greene,Jamal Whitfield,1,2026-04-18
Compass Sheet Metal - SDR Set 334,2025-12-12,2025-12-17,Plumbing Contractor,87000,Discovery,Q4 2025,2025-12-12,Avery Greene,Lauren Park,1,2025-12-17
Whitestone Electric - SDR Set 335,2026-05-26,2026-05-30,General Contractor,99000,Qualification,Q2 2026,2026-05-26,Wes Kim,Jamal Whitfield,1,2026-05-30
Pinewood Construction Services - SDR Set 336,2025-10-27,2025-11-07,Mechanical Contractor,37000,Discovery,Q4 2025,2025-10-27,Wes Kim,Harper Lin,0,2025-11-07
Highline HVAC - SDR Set 337,2025-12-06,2025-12-16,Industrial Services,54000,Closed Won,Q4 2025,2025-12-06,Mira Schultz,Eddie Coleman,0,2025-12-16
Pinewood Construction Services - SDR Set 338,2025-10-24,2025-11-02,Sheet Metal Contractor,40000,Closed Won,Q4 2025,2025-10-24,Avery Greene,Eddie Coleman,0,2025-11-02
Highline HVAC - SDR Set 339,2026-03-15,2026-03-22,Specialty Trades,20000,Qualification,Q1 2026,2026-03-15,Wes Kim,Harper Lin,1,2026-03-22
Cornerstone Mechanical - SDR Set 340,2026-04-22,2026-04-29,Industrial Services,65000,Qualification,Q2 2026,2026-04-22,Mira Schultz,Jamal Whitfield,0,2026-04-29
Driftwood Mechanical - SDR Set 341,2025-11-21,2025-11-28,HVAC Contractor,40000,Discovery,Q4 2025,2025-11-21,Avery Greene,Lauren Park,0,2025-11-28
Atlas Sheet Metal - SDR Set 342,2025-11-07,2025-11-19,Electrical Contractor,29000,Qualification,Q4 2025,2025-11-07,Wes Kim,Harper Lin,0,2025-11-19
Brookline Trades - SDR Set 343,2026-04-05,2026-04-15,HVAC Contractor,92000,Evaluation,Q2 2026,2026-04-05,Wes Kim,Tomás Reyes,1,2026-04-15
Lakefront Mechanical - SDR Set 344,2026-01-06,2026-01-13,Mechanical Contractor,97000,Discovery,Q1 2026,2026-01-06,Avery Greene,Harper Lin,0,2026-01-13
Atlas Sheet Metal - SDR Set 345,2026-03-25,2026-04-04,HVAC Contractor,86000,Evaluation,Q1 2026,2026-03-25,Avery Greene,Caroline Mead,0,2026-04-04
Western Ridge Electrical - SDR Set 346,2026-04-02,2026-04-06,HVAC Contractor,34000,Qualification,Q2 2026,2026-04-02,Wes Kim,Eddie Coleman,0,2026-04-06
Summit Electric Inc - SDR Set 347,2026-01-23,2026-01-29,Industrial Services,63000,Closed Won,Q1 2026,2026-01-23,Wes Kim,Caroline Mead,1,2026-01-29
Brookline Trades - SDR Set 348,2026-04-18,2026-04-25,Mechanical Contractor,70000,Qualification,Q2 2026,2026-04-18,Avery Greene,Harper Lin,0,2026-04-25
Cornerstone Mechanical - SDR Set 349,2026-06-02,2026-06-12,Sheet Metal Contractor,78000,Evaluation,Q2 2026,2026-06-02,Wes Kim,Eddie Coleman,1,2026-06-12
Compass Sheet Metal - SDR Set 350,2026-04-23,2026-04-29,HVAC Contractor,88000,Discovery,Q2 2026,2026-04-23,Avery Greene,Caroline Mead,1,2026-04-29
Steeplechase Electric - SDR Set 351,2026-02-09,2026-02-14,Plumbing Contractor,41000,Qualification,Q1 2026,2026-02-09,Mira Schultz,Caroline Mead,0,2026-02-14
Ironclad Electric - SDR Set 352,2026-01-02,2026-01-05,Plumbing Contractor,71000,Closed Won,Q1 2026,2026-01-02,Avery Greene,Vikram Patel,0,2026-01-05
Steeplechase Electric - SDR Set 353,2026-04-07,2026-04-13,Specialty Trades,43000,Evaluation,Q2 2026,2026-04-07,Wes Kim,Eddie Coleman,0,2026-04-13
Steeplechase Electric - SDR Set 354,2025-12-29,2026-01-11,Plumbing Contractor,78000,Discovery,Q4 2025,2025-12-29,Mira Schultz,Harper Lin,1,2026-01-11
Pinewood Construction Services - SDR Set 355,2026-05-27,2026-05-30,Industrial Services,44000,Discovery,Q2 2026,2026-05-27,Avery Greene,Eddie Coleman,1,2026-05-30
Steeplechase Electric - SDR Set 356,2025-12-23,2025-12-27,Specialty Trades,44000,Discovery,Q4 2025,2025-12-23,Mira Schultz,Tomás Reyes,0,2025-12-27
Beacon Industrial - SDR Set 357,2026-02-07,2026-02-13,Electrical Contractor,52000,Discovery,Q1 2026,2026-02-07,Mira Schultz,Lauren Park,1,2026-02-13
Cascade Mechanical - SDR Set 358,2026-02-03,2026-02-07,Electrical Contractor,56000,Discovery,Q1 2026,2026-02-03,Avery Greene,Eddie Coleman,0,2026-02-07
Heritage Mechanical - SDR Set 359,2025-11-27,2025-12-03,General Contractor,91000,Discovery,Q4 2025,2025-11-27,Mira Schultz,Harper Lin,0,2025-12-03
Highline HVAC - SDR Set 360,2026-01-11,2026-01-24,Specialty Trades,97000,Closed Lost,Q1 2026,2026-01-11,Mira Schultz,Lauren Park,0,2026-01-24
Driftwood Mechanical - SDR Set 361,2025-10-27,2025-11-02,Sheet Metal Contractor,37000,Qualification,Q4 2025,2025-10-27,Mira Schultz,Harper Lin,0,2025-11-02
Granite Industrial Services - SDR Set 362,2026-03-06,2026-03-13,Sheet Metal Contractor,76000,Closed Won,Q1 2026,2026-03-06,Wes Kim,Eddie Coleman,1,2026-03-13
Riverbend Plumbing - SDR Set 363,2025-10-24,2025-11-06,General Contractor,94000,Qualification,Q4 2025,2025-10-24,Avery Greene,Jamal Whitfield,0,2025-11-06
Riverbend Plumbing - SDR Set 364,2026-05-27,2026-05-31,Industrial Services,84000,Discovery,Q2 2026,2026-05-27,Avery Greene,Caroline Mead,1,2026-05-31
Magnolia Builders - SDR Set 365,2026-03-22,2026-03-29,Mechanical Contractor,26000,Discovery,Q1 2026,2026-03-22,Wes Kim,Tomás Reyes,1,2026-03-29
Ironclad Electric - SDR Set 366,2025-10-07,2025-10-17,Plumbing Contractor,24000,Qualification,Q4 2025,2025-10-07,Wes Kim,Lauren Park,0,2025-10-17
Atlas Sheet Metal - SDR Set 367,2025-12-27,2026-01-10,Plumbing Contractor,34000,Evaluation,Q4 2025,2025-12-27,Avery Greene,Lauren Park,1,2026-01-10
Magnolia Builders - SDR Set 368,2026-05-27,2026-06-10,Industrial Services,17000,Qualification,Q2 2026,2026-05-27,Mira Schultz,Jamal Whitfield,0,2026-06-10
Magnolia Builders - SDR Set 369,2026-03-01,2026-03-06,Plumbing Contractor,89000,Discovery,Q1 2026,2026-03-01,Avery Greene,Lauren Park,1,2026-03-06
Anchor Plumbing - SDR Set 370,2026-01-12,2026-01-24,Mechanical Contractor,45000,Discovery,Q1 2026,2026-01-12,Avery Greene,Harper Lin,0,2026-01-24
Cobalt Plumbing Group - SDR Set 371,2025-11-13,2025-11-24,Plumbing Contractor,99000,Discovery,Q4 2025,2025-11-13,Avery Greene,Tomás Reyes,1,2025-11-24
Steeplechase Electric - SDR Set 372,2026-01-26,2026-02-09,Electrical Contractor,72000,Qualification,Q1 2026,2026-01-26,Wes Kim,Eddie Coleman,0,2026-02-09
Atlas Sheet Metal - SDR Set 373,2026-01-29,2026-02-02,Electrical Contractor,91000,Qualification,Q1 2026,2026-01-29,Avery Greene,Eddie Coleman,1,2026-02-02
Cobalt Plumbing Group - SDR Set 374,2026-05-28,2026-06-07,Sheet Metal Contractor,96000,Discovery,Q2 2026,2026-05-28,Avery Greene,Vikram Patel,0,2026-06-07
Northwall Builders - SDR Set 375,2025-11-21,2025-11-30,Specialty Trades,58000,Closed Won,Q4 2025,2025-11-21,Mira Schultz,Jamal Whitfield,0,2025-11-30
Crescent HVAC Co - SDR Set 376,2025-12-10,2025-12-18,General Contractor,16000,Evaluation,Q4 2025,2025-12-10,Avery Greene,Harper Lin,0,2025-12-18
Cascade Mechanical - SDR Set 377,2025-11-30,2025-12-09,Plumbing Contractor,95000,Closed Won,Q4 2025,2025-11-30,Mira Schultz,Vikram Patel,0,2025-12-09
Granite Industrial Services - SDR Set 378,2025-10-07,2025-10-16,Electrical Contractor,26000,Evaluation,Q4 2025,2025-10-07,Wes Kim,Lauren Park,1,2025-10-16
Cascade Mechanical - SDR Set 379,2026-01-17,2026-01-30,Sheet Metal Contractor,31000,Discovery,Q1 2026,2026-01-17,Wes Kim,Harper Lin,1,2026-01-30
Ironclad Electric - SDR Set 380,2026-02-22,2026-03-02,Industrial Services,74000,Closed Won,Q1 2026,2026-02-22,Avery Greene,Harper Lin,0,2026-03-02
Beacon Industrial - SDR Set 381,2026-05-19,2026-06-02,Industrial Services,88000,Qualification,Q2 2026,2026-05-19,Wes Kim,Vikram Patel,0,2026-06-02
Whitestone Electric - SDR Set 382,2026-06-06,2026-06-19,General Contractor,68000,Qualification,Q2 2026,2026-06-06,Wes Kim,Harper Lin,1,2026-06-19
Heritage Mechanical - SDR Set 383,2026-01-16,2026-01-23,HVAC Contractor,17000,Qualification,Q1 2026,2026-01-16,Mira Schultz,Tomás Reyes,1,2026-01-23
Cobalt Plumbing Group - SDR Set 384,2025-10-24,2025-11-04,Mechanical Contractor,25000,Qualification,Q4 2025,2025-10-24,Avery Greene,Harper Lin,1,2025-11-04
Sentinel HVAC - SDR Set 385,2026-03-19,2026-03-28,Specialty Trades,70000,Qualification,Q1 2026,2026-03-19,Wes Kim,Tomás Reyes,1,2026-03-28
Beacon Industrial - SDR Set 386,2025-11-09,2025-11-14,Specialty Trades,67000,Discovery,Q4 2025,2025-11-09,Avery Greene,Jamal Whitfield,0,2025-11-14
Beacon Industrial - SDR Set 387,2025-11-20,2025-11-28,Plumbing Contractor,27000,Qualification,Q4 2025,2025-11-20,Wes Kim,Jamal Whitfield,0,2025-11-28
Riverbend Plumbing - SDR Set 388,2025-11-06,2025-11-17,Specialty Trades,90000,Discovery,Q4 2025,2025-11-06,Mira Schultz,Caroline Mead,1,2025-11-17
Summit Electric Inc - SDR Set 389,2026-03-12,2026-03-23,HVAC Contractor,99000,Discovery,Q1 2026,2026-03-12,Avery Greene,Caroline Mead,0,2026-03-23
Driftwood Mechanical - SDR Set 390,2026-01-12,2026-01-25,Sheet Metal Contractor,83000,Evaluation,Q1 2026,2026-01-12,Wes Kim,Lauren Park,1,2026-01-25
Anchor Plumbing - SDR Set 391,2026-03-18,2026-03-28,Sheet Metal Contractor,27000,Closed Won,Q1 2026,2026-03-18,Mira Schultz,Lauren Park,1,2026-03-28
Atlas Sheet Metal - SDR Set 392,2026-03-07,2026-03-14,General Contractor,45000,Evaluation,Q1 2026,2026-03-07,Mira Schultz,Vikram Patel,0,2026-03-14
Foothill Sheet Metal - SDR Set 393,2026-04-04,2026-04-18,Plumbing Contractor,84000,Evaluation,Q2 2026,2026-04-04,Wes Kim,Harper Lin,0,2026-04-18
Cascade Mechanical - SDR Set 394,2026-01-25,2026-01-28,Specialty Trades,81000,Discovery,Q1 2026,2026-01-25,Mira Schultz,Vikram Patel,1,2026-01-28
Tannery Plumbing Co - SDR Set 395,2026-04-13,2026-04-18,Mechanical Contractor,92000,Qualification,Q2 2026,2026-04-13,Mira Schultz,Caroline Mead,1,2026-04-18
Riverbend Plumbing - SDR Set 396,2026-04-24,2026-05-01,Plumbing Contractor,99000,Discovery,Q2 2026,2026-04-24,Avery Greene,Eddie Coleman,1,2026-05-01
Cascade Mechanical - SDR Set 397,2026-05-23,2026-06-03,Specialty Trades,20000,Discovery,Q2 2026,2026-05-23,Wes Kim,Tomás Reyes,1,2026-06-03
Crescent HVAC Co - SDR Set 398,2026-06-15,2026-06-20,Electrical Contractor,36000,Discovery,Q2 2026,2026-06-15,Mira Schultz,Harper Lin,0,2026-06-20
Brookline Trades - SDR Set 399,2026-02-26,2026-03-06,Industrial Services,80000,Discovery,Q1 2026,2026-02-26,Mira Schultz,Vikram Patel,0,2026-03-06
Western Ridge Electrical - SDR Set 400,2025-11-19,2025-11-24,General Contractor,41000,Evaluation,Q4 2025,2025-11-19,Wes Kim,Tomás Reyes,1,2025-11-24
