Opportunity Name,Opportunity Owner,Account Name,SDR Owner,Opportunity Source,Amount,Created Date,Discovery Date,Evaluation Date,Negotiation Date,Close Date,Stage Duration,Last Stage Change Date,Annual Revenue,Opportunity Owner: Manager,Opp Set Type,Stage,Account Segment,Recurring ARR,Primary Contact: P Level,Industry,First NB Opp?,Account: Last Activity,Last Activity,Discount Amount,Discount Percentage,Recurring Discount Percentage,Opportunity BPS,Type,Opportunity Record Type,Opportunity ID (18 Char),Probability (%),Contract Term (Month),Payment Terms,Invoice Frequency
Beacon Industrial - CW 139,Harper Lin,Beacon Industrial,,Inbound,51000,2025-08-07,2025-08-09,2025-09-04,2025-10-23,2025-10-08,42,2025-08-19,199015115,Patrick Yu,AE Set - Inbound,Closed Won,ENT,48400,,Electrical Contractor,true,2026-04-23,2026-05-05,19380,38%,38%,2.43,New Business,New Business,006DEMO00000000138,100,12,Net 30,Semi-Annually
Briarcliff Trades - NB 140,Vikram Patel,Briarcliff Trades,Mira Schultz,Outbound,19000,2026-01-25,2026-01-27,2026-02-23,2026-04-26,2026-06-20,46,2026-01-29,195855174,Patrick Yu,SDR Set - Outbound,Evaluation,ENT,16000,VP,Industrial Services,false,2026-04-18,2026-05-10,0,0%,0%,0.82,New Business,New Business,006DEMO00000000139,50,12,Net 30,Semi-Annually
Sentinel HVAC - NB 141,Jamal Whitfield,Sentinel HVAC,Wes Kim,Outbound,77000,2026-04-21,2026-04-22,2026-05-08,2026-07-06,2026-06-25,24,2026-04-27,70760318,Kevin Brand,SDR Set - Outbound,Qualification,MM,72700,Director,Sheet Metal Contractor,false,2026-04-23,2026-05-04,22330,29%,29%,10.27,New Business,New Business,006DEMO00000000140,10,12,Net 30,Monthly
Riverbend Plumbing - CL 142,Harper Lin,Riverbend Plumbing,,Inbound,16000,2025-06-24,2025-06-28,2025-07-18,2025-08-31,2025-12-15,53,2025-07-01,336997292,Patrick Yu,AE Set - Inbound,Closed Lost,ENT,12500,C-Level,Specialty Trades,true,2026-05-07,2026-05-07,5120,32%,32%,0.37,New Business,New Business,006DEMO00000000141,0,12,Net 30,Monthly
Crescent HVAC Co - NB 143,Harper Lin,Crescent HVAC Co,,Inbound,16000,2025-11-19,2025-11-23,2025-12-07,2026-01-17,2026-08-05,29,2025-12-05,173943161,Patrick Yu,AE Set - Inbound,Final Approvals,ENT,14600,,Industrial Services,false,2026-04-18,2026-05-14,5920,37%,37%,0.84,New Business,New Business,006DEMO00000000142,90,12,Net 30,Semi-Annually
Crescent HVAC Co - CL 144,Tomás Reyes,Crescent HVAC Co,Wes Kim,6s Intent Signals,18000,2025-04-24,2025-04-28,2025-05-19,2025-06-30,2025-08-19,50,2025-04-30,32071180,Kevin Brand,6s,Closed Lost,MM,15600,VP,Industrial Services,false,2026-04-15,2026-05-05,0,0%,0%,4.86,New Business,New Business,006DEMO00000000143,0,12,Net 30,Annual
Highline HVAC - CL 145,Lauren Park,Highline HVAC,,Event,66000,2025-01-17,2025-01-19,2025-02-17,2025-03-05,2025-05-06,53,2025-01-30,8127705,Kevin Brand,Event,Closed Lost,MM,51500,C-Level,Mechanical Contractor,true,2026-05-09,2026-05-09,21780,33%,33%,63.36,New Business,New Business,006DEMO00000000144,0,12,Net 30,Annual
Crescent HVAC Co - CL 146,Vikram Patel,Crescent HVAC Co,Avery Greene,Outbound,122000,2025-02-01,2025-02-02,2025-03-03,2025-03-21,2025-03-08,19,2025-02-05,96399963,Patrick Yu,SDR Set - Outbound,Closed Lost,ENT,108300,VP,Industrial Services,false,2026-04-17,2026-05-01,47580,39%,39%,11.23,New Business,New Business,006DEMO00000000145,0,12,Net 30,Annual
Pinewood Construction Services - NB 147,Lauren Park,Pinewood Construction Services,,Outbound,45000,2026-04-09,2026-04-12,2026-04-29,2026-06-01,2026-08-27,7,2026-04-24,26451568,Kevin Brand,AE - Self Set,Qualification,MM,42000,C-Level,Industrial Services,false,2026-04-15,2026-05-02,0,0%,0%,15.88,New Business,New Business,006DEMO00000000146,10,12,Net 30,Semi-Annually
Riverbend Plumbing - NB 148,Harper Lin,Riverbend Plumbing,Mira Schultz,Outbound,145000,2026-05-23,2026-05-27,2026-06-13,2026-07-30,2026-06-30,44,2026-05-30,151578629,Patrick Yu,SDR Set - Outbound,Final Approvals,ENT,131800,,Specialty Trades,true,2026-04-23,2026-05-03,0,0%,0%,8.7,New Business,New Business,006DEMO00000000147,90,12,Net 30,Annual
Western Ridge Electrical - CW 149,Tomás Reyes,Western Ridge Electrical,,Outbound,49000,2025-06-15,2025-06-16,2025-07-05,2025-08-30,2025-08-26,55,2025-06-28,69944840,Kevin Brand,AE - Self Set,Closed Won,MM,43300,C-Level,General Contractor,false,2026-04-25,2026-05-04,18620,38%,38%,6.19,New Business,New Business,006DEMO00000000148,100,12,Net 30,Semi-Annually
Summit Electric Inc - NB 150,Caroline Mead,Summit Electric Inc,,Inbound,230000,2026-05-29,2026-05-30,2026-06-22,2026-08-13,2026-06-16,50,2026-06-09,327021094,Patrick Yu,AE Set - Inbound,Discovery,ENT,203100,Director,Specialty Trades,false,2026-04-18,2026-05-14,0,0%,0%,6.21,New Business,New Business,006DEMO00000000149,25,12,Net 30,Quarterly
Pinewood Construction Services - NB 151,Harper Lin,Pinewood Construction Services,Mira Schultz,6s Intent Signals,139000,2025-12-16,2025-12-18,2026-01-16,2026-03-10,2026-06-12,59,2025-12-27,266682484,Patrick Yu,6s,Discovery,ENT,115400,Manager,Mechanical Contractor,true,2026-04-18,2026-05-13,0,0%,0%,4.33,New Business,New Business,006DEMO00000000150,25,12,Net 30,Quarterly
Ironclad Electric - CW 152,Lauren Park,Ironclad Electric,,Inbound,31000,2025-10-29,2025-10-30,2025-11-14,2026-01-28,2026-05-15,55,2025-11-11,71743054,Kevin Brand,AE Set - Inbound,Closed Won,MM,29100,Manager,General Contractor,false,2026-04-22,2026-05-11,0,0%,0%,4.06,New Business,New Business,006DEMO00000000151,100,12,Net 30,Quarterly
Tannery Plumbing Co - CL 153,Vikram Patel,Tannery Plumbing Co,Wes Kim,Outbound,70000,2025-04-17,2025-04-18,2025-05-08,2025-07-10,2025-11-16,34,2025-04-30,81292674,Patrick Yu,SDR Set - Outbound,Closed Lost,ENT,56200,C-Level,Specialty Trades,false,2026-05-09,2026-05-02,0,0%,0%,6.91,New Business,New Business,006DEMO00000000152,0,12,Net 30,Annual
Ironclad Electric - CL 154,Harper Lin,Ironclad Electric,,Partner,113000,2025-06-10,2025-06-13,2025-07-07,2025-08-02,2025-09-28,28,2025-06-15,210763392,Patrick Yu,Partner,Closed Lost,ENT,105400,,General Contractor,true,2026-05-07,2026-05-01,0,0%,0%,5,New Business,New Business,006DEMO00000000153,0,12,Net 30,Annual
Whitestone Electric - NB 155,Vikram Patel,Whitestone Electric,,Webinar,249000,2026-04-05,2026-04-08,2026-04-28,2026-07-02,2026-07-30,58,2026-04-19,87663817,Patrick Yu,Webinar,Qualification,ENT,189800,Manager,Sheet Metal Contractor,false,2026-04-25,2026-05-06,72210,29%,29%,21.65,New Business,New Business,006DEMO00000000154,10,12,Net 30,Semi-Annually
Sentinel HVAC - CW 156,Lauren Park,Sentinel HVAC,,Inbound,23000,2025-10-24,2025-10-29,2025-11-19,2026-01-18,2026-05-15,60,2025-11-06,35528270,Kevin Brand,AE Set - Inbound,Closed Won,MM,20800,Manager,Mechanical Contractor,false,2026-04-27,2026-05-06,5750,25%,25%,5.85,New Business,New Business,006DEMO00000000155,100,12,Net 30,Annual
Ironclad Electric - NB 157,Caroline Mead,Ironclad Electric,Avery Greene,Outbound,147000,2025-12-10,2025-12-14,2025-12-28,2026-02-04,2026-09-06,49,2025-12-25,165086483,Patrick Yu,SDR Set - Outbound,Final Approvals,ENT,137600,,HVAC Contractor,true,2026-04-25,2026-05-01,17640,12%,12%,8.34,New Business,New Business,006DEMO00000000156,90,12,Net 30,Annual
Crescent HVAC Co - CL 158,Vikram Patel,Crescent HVAC Co,Avery Greene,Outbound,154000,2025-05-23,2025-05-28,2025-06-15,2025-08-26,2026-02-03,42,2025-05-29,100853331,Patrick Yu,SDR Set - Outbound,Closed Lost,ENT,138600,Director,Specialty Trades,false,2026-05-01,2026-05-08,0,0%,0%,13.74,New Business,New Business,006DEMO00000000157,0,12,Net 30,Annual
Whitestone Electric - CL 159,Caroline Mead,Whitestone Electric,,Webinar,51000,2025-10-24,2025-10-29,2025-11-15,2026-01-18,2026-05-15,34,2025-11-03,137759881,Patrick Yu,Webinar,Closed Lost,ENT,39600,Director,Sheet Metal Contractor,false,2026-04-28,2026-05-11,0,0%,0%,2.87,New Business,New Business,006DEMO00000000158,0,12,Net 30,Annual
Lakefront Mechanical - CW 160,Tomás Reyes,Lakefront Mechanical,,Partner,24000,2025-06-18,2025-06-22,2025-07-11,2025-08-11,2025-12-10,53,2025-07-01,11623875,Kevin Brand,Partner,Closed Won,MM,22100,VP,Industrial Services,true,2026-05-07,2026-05-02,0,0%,0%,19.01,New Business,New Business,006DEMO00000000159,100,12,Net 30,Annual
Sentinel HVAC - CL 161,Harper Lin,Sentinel HVAC,,Inbound,159000,2025-03-01,2025-03-04,2025-03-27,2025-04-27,2025-04-22,31,2025-03-14,90413482,Patrick Yu,AE Set - Inbound,Closed Lost,ENT,126700,C-Level,Industrial Services,false,2026-04-16,2026-05-12,0,0%,0%,14.01,New Business,New Business,006DEMO00000000160,0,12,Net 30,Annual
Cobalt Plumbing Group - CL 162,Harper Lin,Cobalt Plumbing Group,,Inbound,20000,2025-01-22,2025-01-27,2025-02-15,2025-04-03,2025-05-22,13,2025-02-07,162498054,Patrick Yu,AE Set - Inbound,Closed Lost,ENT,16300,Manager,HVAC Contractor,false,2026-05-05,2026-05-05,7600,38%,38%,1,New Business,New Business,006DEMO00000000161,0,12,Net 30,Semi-Annually
Ironclad Electric - NB 163,Vikram Patel,Ironclad Electric,,Event,163000,2026-02-22,2026-02-25,2026-03-18,2026-05-09,2026-09-02,60,2026-03-04,329128726,Patrick Yu,Event,Evaluation,ENT,154100,Director,Industrial Services,true,2026-05-09,2026-05-01,0,0%,0%,4.68,New Business,New Business,006DEMO00000000162,50,12,Net 30,Monthly
Steeplechase Electric - CL 164,Vikram Patel,Steeplechase Electric,Wes Kim,Outbound,207000,2025-09-17,2025-09-20,2025-10-11,2025-12-07,2025-11-01,21,2025-10-01,180702012,Patrick Yu,SDR Set - Outbound,Closed Lost,ENT,189900,Manager,HVAC Contractor,false,2026-05-06,2026-05-11,28980,14%,14%,10.51,New Business,New Business,006DEMO00000000163,0,12,Net 30,Monthly
Crescent HVAC Co - NB 165,Caroline Mead,Crescent HVAC Co,Avery Greene,Outbound,165000,2026-04-14,2026-04-19,2026-05-17,2026-06-28,2026-08-17,28,2026-05-02,180999455,Patrick Yu,SDR Set - Outbound,Qualification,ENT,154500,VP,HVAC Contractor,false,2026-05-14,2026-05-01,0,0%,0%,8.54,New Business,New Business,006DEMO00000000164,10,12,Net 30,Annual
Magnolia Builders - CL 166,Lauren Park,Magnolia Builders,Wes Kim,Outbound,30000,2025-09-11,2025-09-13,2025-10-08,2025-11-14,2026-01-27,42,2025-09-14,10316975,Kevin Brand,SDR Set - Outbound,Closed Lost,MM,27400,,Specialty Trades,true,2026-04-23,2026-05-07,3900,13%,13%,26.56,New Business,New Business,006DEMO00000000165,0,12,Net 30,Annual
Sentinel HVAC - CW 167,Tomás Reyes,Sentinel HVAC,,Inbound,39000,2025-03-26,2025-03-27,2025-04-18,2025-05-15,2025-08-16,55,2025-04-07,23487179,Kevin Brand,AE Set - Inbound,Closed Won,MM,35300,VP,Electrical Contractor,false,2026-04-25,2026-05-03,0,0%,0%,15.03,New Business,New Business,006DEMO00000000166,100,12,Net 30,Monthly
Sentinel HVAC - CL 168,Caroline Mead,Sentinel HVAC,,Inbound,220000,2025-07-03,2025-07-08,2025-07-26,2025-09-12,2025-11-09,5,2025-07-22,274233090,Patrick Yu,AE Set - Inbound,Closed Lost,ENT,190800,C-Level,Specialty Trades,false,2026-05-07,2026-05-13,0,0%,0%,6.96,New Business,New Business,006DEMO00000000167,0,12,Net 30,Annual
Driftwood Mechanical - NB 169,Caroline Mead,Driftwood Mechanical,,Event,186000,2026-03-22,2026-03-23,2026-04-20,2026-05-21,2026-09-06,51,2026-04-04,320903179,Patrick Yu,Event,Contracts/Negotiation,ENT,161900,VP,Industrial Services,true,2026-04-22,2026-05-08,0,0%,0%,5.05,New Business,New Business,006DEMO00000000168,75,12,Net 30,Annual
Crescent HVAC Co - CL 170,Harper Lin,Crescent HVAC Co,,Outbound,157000,2025-03-11,2025-03-15,2025-03-29,2025-05-26,2025-06-20,28,2025-03-16,226525863,Patrick Yu,AE - Self Set,Closed Lost,ENT,129600,,Mechanical Contractor,false,2026-04-23,2026-05-02,0,0%,0%,5.72,New Business,New Business,006DEMO00000000169,0,12,Net 30,Annual
Tannery Plumbing Co - CW 171,Vikram Patel,Tannery Plumbing Co,,Partner,205000,2025-06-29,2025-07-02,2025-07-16,2025-08-25,2025-09-17,50,2025-07-15,275737472,Patrick Yu,Partner,Closed Won,ENT,172600,Manager,Mechanical Contractor,false,2026-04-16,2026-05-11,0,0%,0%,6.26,New Business,New Business,006DEMO00000000170,100,12,Net 30,Semi-Annually
Brookline Trades - CW 172,Vikram Patel,Brookline Trades,,Inbound,247000,2025-06-30,2025-07-01,2025-07-18,2025-08-26,2026-01-27,5,2025-07-05,176857947,Patrick Yu,AE Set - Inbound,Closed Won,ENT,194500,,Sheet Metal Contractor,true,2026-04-16,2026-05-02,0,0%,0%,11,New Business,New Business,006DEMO00000000171,100,12,Net 30,Annual
Ironclad Electric - CL 173,Caroline Mead,Ironclad Electric,,Inbound,101000,2025-03-04,2025-03-06,2025-03-23,2025-04-29,2025-08-12,43,2025-03-15,292139870,Patrick Yu,AE Set - Inbound,Closed Lost,ENT,88300,,General Contractor,false,2026-05-12,2026-05-01,0,0%,0%,3.02,New Business,New Business,006DEMO00000000172,0,12,Net 30,Annual
Anchor Plumbing - CW 174,Caroline Mead,Anchor Plumbing,,Inbound,35000,2025-07-30,2025-08-04,2025-08-28,2025-10-14,2025-09-21,42,2025-08-13,182543325,Patrick Yu,AE Set - Inbound,Closed Won,ENT,27100,,Specialty Trades,false,2026-05-09,2026-05-01,11900,34%,34%,1.48,New Business,New Business,006DEMO00000000173,100,12,Net 30,Annual
Lakefront Mechanical - CL 175,Eddie Coleman,Lakefront Mechanical,Wes Kim,6s Intent Signals,66000,2025-05-20,2025-05-23,2025-06-13,2025-07-08,2025-10-11,12,2025-05-24,18318687,Kevin Brand,6s,Closed Lost,MM,58300,C-Level,Mechanical Contractor,true,2026-05-02,2026-05-11,0,0%,0%,31.83,New Business,New Business,006DEMO00000000174,0,12,Net 30,Quarterly
Heritage Mechanical - CL 176,Lauren Park,Heritage Mechanical,,Outbound,74000,2025-10-21,2025-10-24,2025-11-17,2026-01-05,2026-02-23,38,2025-11-05,23626223,Kevin Brand,AE - Self Set,Closed Lost,MM,59800,C-Level,Mechanical Contractor,false,2026-05-12,2026-05-07,0,0%,0%,25.31,New Business,New Business,006DEMO00000000175,0,12,Net 30,Monthly
Anchor Plumbing - CL 177,Vikram Patel,Anchor Plumbing,,Inbound,174000,2025-09-03,2025-09-08,2025-10-08,2025-12-07,2026-04-26,47,2025-09-14,198993369,Patrick Yu,AE Set - Inbound,Closed Lost,ENT,160600,Manager,Sheet Metal Contractor,false,2026-05-13,2026-05-04,0,0%,0%,8.07,New Business,New Business,006DEMO00000000176,0,12,Net 30,Monthly
Tannery Plumbing Co - NB 178,Vikram Patel,Tannery Plumbing Co,,Inbound,85000,2026-01-29,2026-01-30,2026-02-19,2026-04-18,2026-06-28,28,2026-02-04,199093106,Patrick Yu,AE Set - Inbound,Evaluation,ENT,68700,C-Level,Electrical Contractor,true,2026-05-14,2026-05-12,0,0%,0%,3.45,New Business,New Business,006DEMO00000000177,50,12,Net 30,Annual
Foothill Sheet Metal - CL 179,Jamal Whitfield,Foothill Sheet Metal,Mira Schultz,Outbound,77000,2025-04-18,2025-04-20,2025-05-07,2025-06-23,2025-07-29,8,2025-04-22,6385149,Kevin Brand,SDR Set - Outbound,Closed Lost,MM,65800,Director,Sheet Metal Contractor,false,2026-05-11,2026-05-08,29260,38%,38%,103.05,New Business,New Business,006DEMO00000000178,0,12,Net 30,Monthly
Tannery Plumbing Co - NB 180,Vikram Patel,Tannery Plumbing Co,,Inbound,158000,2026-03-23,2026-03-26,2026-04-19,2026-06-06,2026-07-20,45,2026-03-30,336343220,Patrick Yu,AE Set - Inbound,Evaluation,ENT,149100,C-Level,Plumbing Contractor,false,2026-04-30,2026-05-05,0,0%,0%,4.43,New Business,New Business,006DEMO00000000179,50,12,Net 30,Annual
Cobalt Plumbing Group - NB 181,Harper Lin,Cobalt Plumbing Group,,Event,155000,2025-12-30,2025-12-31,2026-01-20,2026-03-23,2026-08-11,33,2026-01-05,258261345,Patrick Yu,Event,Discovery,ENT,136100,Director,HVAC Contractor,true,2026-04-18,2026-05-04,57350,37%,37%,5.27,New Business,New Business,006DEMO00000000180,25,12,Net 30,Annual
Ironclad Electric - NB 182,Vikram Patel,Ironclad Electric,,Inbound,60000,2026-03-09,2026-03-12,2026-04-01,2026-05-19,2026-07-18,3,2026-03-14,306766449,Patrick Yu,AE Set - Inbound,Discovery,ENT,54200,Director,Electrical Contractor,false,2026-04-15,2026-05-07,0,0%,0%,1.77,New Business,New Business,006DEMO00000000181,25,12,Net 30,Annual
Northwall Builders - CL 183,Harper Lin,Northwall Builders,,Outbound,152000,2025-10-03,2025-10-06,2025-10-31,2025-12-29,2026-02-21,56,2025-10-20,139298991,Patrick Yu,AE - Self Set,Closed Lost,ENT,127700,Director,Industrial Services,false,2026-04-29,2026-05-10,0,0%,0%,9.17,New Business,New Business,006DEMO00000000182,0,12,Net 30,Annual
Tannery Plumbing Co - CL 184,Vikram Patel,Tannery Plumbing Co,Avery Greene,Outbound,161000,2025-09-12,2025-09-16,2025-10-09,2025-11-07,2026-03-18,29,2025-09-21,226988899,Patrick Yu,SDR Set - Outbound,Closed Lost,ENT,121500,,Electrical Contractor,true,2026-04-24,2026-05-14,56350,35%,35%,5.35,New Business,New Business,006DEMO00000000183,0,12,Net 30,Annual
Western Ridge Electrical - CL 185,Caroline Mead,Western Ridge Electrical,,Inbound,65000,2025-08-06,2025-08-10,2025-08-26,2025-11-04,2026-04-09,30,2025-08-15,89535109,Patrick Yu,AE Set - Inbound,Closed Lost,ENT,52500,C-Level,Plumbing Contractor,false,2026-04-22,2026-05-05,0,0%,0%,5.86,New Business,New Business,006DEMO00000000184,0,12,Net 30,Monthly
Pinewood Construction Services - CW 186,Lauren Park,Pinewood Construction Services,Wes Kim,6s Intent Signals,32000,2025-07-08,2025-07-13,2025-07-30,2025-09-19,2025-08-13,43,2025-07-27,63824427,Kevin Brand,6s,Closed Won,MM,25900,VP,Mechanical Contractor,false,2026-05-04,2026-05-14,0,0%,0%,4.06,New Business,New Business,006DEMO00000000185,100,12,Net 30,Semi-Annually
Heritage Mechanical - CL 187,Vikram Patel,Heritage Mechanical,,Partner,125000,2025-01-10,2025-01-13,2025-02-09,2025-03-05,2025-10-09,28,2025-01-25,203442712,Patrick Yu,Partner,Closed Lost,ENT,106600,Manager,Industrial Services,true,2026-05-14,2026-05-09,0,0%,0%,5.24,New Business,New Business,006DEMO00000000186,0,12,Net 30,Monthly
Cornerstone Mechanical - CW 188,Vikram Patel,Cornerstone Mechanical,Avery Greene,Outbound,104000,2025-07-23,2025-07-28,2025-08-12,2025-10-08,2025-09-09,5,2025-08-05,246056811,Patrick Yu,SDR Set - Outbound,Closed Won,ENT,85500,,General Contractor,false,2026-04-23,2026-05-11,0,0%,0%,3.47,New Business,New Business,006DEMO00000000187,100,12,Net 30,Annual
Summit Electric Inc - NB 189,Caroline Mead,Summit Electric Inc,,Outbound,117000,2026-04-20,2026-04-24,2026-05-18,2026-07-20,2026-07-03,24,2026-05-06,316895253,Patrick Yu,AE - Self Set,Discovery,ENT,98400,,Industrial Services,false,2026-05-14,2026-05-14,0,0%,0%,3.11,New Business,New Business,006DEMO00000000188,25,12,Net 30,Annual
Riverbend Plumbing - CL 190,Lauren Park,Riverbend Plumbing,Wes Kim,Outbound,67000,2025-01-20,2025-01-21,2025-02-14,2025-03-24,2025-02-25,56,2025-01-30,41602613,Kevin Brand,SDR Set - Outbound,Closed Lost,MM,63000,Director,Electrical Contractor,true,2026-04-29,2026-05-12,0,0%,0%,15.14,New Business,New Business,006DEMO00000000189,0,12,Net 30,Annual
Foothill Sheet Metal - CL 191,Caroline Mead,Foothill Sheet Metal,Wes Kim,6s Intent Signals,102000,2025-03-17,2025-03-21,2025-04-04,2025-06-09,2025-09-17,15,2025-04-01,132453237,Patrick Yu,6s,Closed Lost,ENT,94400,C-Level,Mechanical Contractor,false,2026-05-14,2026-05-03,21420,21%,21%,7.13,New Business,New Business,006DEMO00000000190,0,12,Net 30,Monthly
Cornerstone Mechanical - CL 192,Eddie Coleman,Cornerstone Mechanical,,Inbound,37000,2025-04-24,2025-04-29,2025-05-23,2025-07-04,2025-06-09,31,2025-05-13,26907159,Kevin Brand,AE Set - Inbound,Closed Lost,MM,29200,,Electrical Contractor,false,2026-04-20,2026-05-07,13690,37%,37%,10.85,New Business,New Business,006DEMO00000000191,0,12,Net 30,Annual
Whitestone Electric - NB 193,Tomás Reyes,Whitestone Electric,,Webinar,51000,2026-03-05,2026-03-09,2026-03-27,2026-06-06,2026-09-04,36,2026-03-14,29180612,Kevin Brand,Webinar,Contracts/Negotiation,MM,42400,,Plumbing Contractor,true,2026-04-28,2026-05-05,0,0%,0%,14.53,New Business,New Business,006DEMO00000000192,75,12,Net 30,Quarterly
Summit Electric Inc - NB 194,Tomás Reyes,Summit Electric Inc,,Inbound,32000,2025-12-05,2025-12-08,2025-12-27,2026-01-22,2026-06-02,28,2025-12-22,13461428,Kevin Brand,AE Set - Inbound,Final Approvals,MM,25400,,Plumbing Contractor,false,2026-04-22,2026-05-06,0,0%,0%,18.87,New Business,New Business,006DEMO00000000193,90,12,Net 30,Annual
Magnolia Builders - CL 195,Eddie Coleman,Magnolia Builders,Wes Kim,Outbound,37000,2025-04-11,2025-04-15,2025-04-30,2025-07-01,2025-06-17,46,2025-04-21,65021026,Kevin Brand,SDR Set - Outbound,Closed Lost,MM,30300,Manager,Mechanical Contractor,false,2026-04-26,2026-05-08,0,0%,0%,4.66,New Business,New Business,006DEMO00000000194,0,12,Net 30,Annual
Steeplechase Electric - CL 196,Tomás Reyes,Steeplechase Electric,Avery Greene,Outbound,69000,2025-05-16,2025-05-21,2025-06-06,2025-08-18,2025-12-22,34,2025-06-03,35260474,Kevin Brand,SDR Set - Outbound,Closed Lost,MM,54600,Director,Industrial Services,true,2026-04-15,2026-05-11,0,0%,0%,15.48,New Business,New Business,006DEMO00000000195,0,12,Net 30,Annual
Driftwood Mechanical - CL 197,Vikram Patel,Driftwood Mechanical,Avery Greene,Outbound,93000,2025-06-26,2025-06-28,2025-07-24,2025-08-30,2025-10-07,19,2025-07-01,142655470,Patrick Yu,SDR Set - Outbound,Closed Lost,ENT,74400,,Plumbing Contractor,false,2026-05-08,2026-05-13,7440,8%,8%,5.22,New Business,New Business,006DEMO00000000196,0,12,Net 30,Quarterly
Whitestone Electric - NB 198,Harper Lin,Whitestone Electric,Wes Kim,6s Intent Signals,195000,2026-03-13,2026-03-15,2026-04-01,2026-05-19,2026-07-28,59,2026-03-29,191412208,Patrick Yu,6s,Qualification,ENT,151400,Director,Specialty Trades,false,2026-04-22,2026-05-05,0,0%,0%,7.91,New Business,New Business,006DEMO00000000197,10,12,Net 30,Quarterly
Heritage Mechanical - CW 199,Vikram Patel,Heritage Mechanical,,Event,55000,2025-02-24,2025-02-28,2025-03-19,2025-04-15,2025-10-29,41,2025-03-01,178264981,Patrick Yu,Event,Closed Won,ENT,48700,VP,General Contractor,true,2026-05-11,2026-05-02,0,0%,0%,2.73,New Business,New Business,006DEMO00000000198,100,12,Net 30,Monthly
Western Ridge Electrical - NB 200,Harper Lin,Western Ridge Electrical,,Inbound,162000,2026-05-02,2026-05-06,2026-05-21,2026-06-23,2026-06-11,44,2026-05-14,86414999,Patrick Yu,AE Set - Inbound,Discovery,ENT,151000,Manager,Mechanical Contractor,false,2026-05-03,2026-05-14,61560,38%,38%,17.47,New Business,New Business,006DEMO00000000199,25,12,Net 30,Annual
Tannery Plumbing Co - CL 201,Vikram Patel,Tannery Plumbing Co,,Inbound,20000,2025-09-16,2025-09-17,2025-10-03,2025-11-07,2026-05-15,55,2025-09-21,267076020,Patrick Yu,AE Set - Inbound,Closed Lost,ENT,17100,Manager,Specialty Trades,false,2026-05-02,2026-05-13,0,0%,0%,0.64,New Business,New Business,006DEMO00000000200,0,12,Net 30,Annual
Driftwood Mechanical - CW 202,Caroline Mead,Driftwood Mechanical,Wes Kim,Outbound,81000,2025-02-23,2025-02-24,2025-03-14,2025-05-01,2025-08-05,23,2025-03-02,272092482,Patrick Yu,SDR Set - Outbound,Closed Won,ENT,65500,C-Level,Mechanical Contractor,true,2026-04-24,2026-05-05,0,0%,0%,2.41,New Business,New Business,006DEMO00000000201,100,12,Net 30,Annual
Magnolia Builders - NB 203,Caroline Mead,Magnolia Builders,Mira Schultz,Outbound,177000,2026-01-09,2026-01-11,2026-02-05,2026-03-22,2026-07-06,40,2026-01-18,143596792,Patrick Yu,SDR Set - Outbound,Evaluation,ENT,162100,Manager,Sheet Metal Contractor,false,2026-05-02,2026-05-03,0,0%,0%,11.29,New Business,New Business,006DEMO00000000202,50,12,Net 30,Semi-Annually
Briarcliff Trades - CL 204,Caroline Mead,Briarcliff Trades,Mira Schultz,Outbound,19000,2025-05-03,2025-05-05,2025-05-21,2025-07-13,2025-09-13,41,2025-05-17,296525286,Patrick Yu,SDR Set - Outbound,Closed Lost,ENT,15000,VP,Electrical Contractor,false,2026-05-10,2026-05-03,0,0%,0%,0.51,New Business,New Business,006DEMO00000000203,0,12,Net 30,Quarterly
Cornerstone Mechanical - CL 205,Jamal Whitfield,Cornerstone Mechanical,Wes Kim,Outbound,49000,2025-02-09,2025-02-12,2025-03-02,2025-04-03,2025-09-19,36,2025-02-25,13258326,Kevin Brand,SDR Set - Outbound,Closed Lost,MM,44600,C-Level,HVAC Contractor,true,2026-05-06,2026-05-04,0,0%,0%,33.64,New Business,New Business,006DEMO00000000204,0,12,Net 30,Annual
Ironclad Electric - NB 206,Harper Lin,Ironclad Electric,Avery Greene,Outbound,191000,2026-02-25,2026-02-28,2026-03-26,2026-05-07,2026-06-30,34,2026-03-02,246823619,Patrick Yu,SDR Set - Outbound,Qualification,ENT,178600,,Industrial Services,false,2026-05-02,2026-05-04,0,0%,0%,7.24,New Business,New Business,006DEMO00000000205,10,12,Net 30,Quarterly
Beacon Industrial - NB 207,Harper Lin,Beacon Industrial,Mira Schultz,Outbound,88000,2026-02-24,2026-03-01,2026-03-17,2026-05-03,2026-06-22,23,2026-03-06,313238952,Patrick Yu,SDR Set - Outbound,Evaluation,ENT,82200,Manager,Sheet Metal Contractor,false,2026-04-17,2026-05-14,0,0%,0%,2.62,New Business,New Business,006DEMO00000000206,50,12,Net 30,Quarterly
Riverbend Plumbing - NB 208,Lauren Park,Riverbend Plumbing,,Outbound,49000,2026-05-27,2026-05-31,2026-06-22,2026-07-16,2026-09-07,59,2026-06-05,29686279,Kevin Brand,AE - Self Set,Discovery,MM,39900,C-Level,Electrical Contractor,true,2026-05-12,2026-05-04,13230,27%,27%,13.44,New Business,New Business,006DEMO00000000207,25,12,Net 30,Annual
